id,title,status,loc.0,date,time,mins,desc,tags.0,tags.1,tags.2,people.0.id,people.0.name,people.1.id,people.1.name,people.2.id,people.2.name,people.3.id,people.3.name,people.4.id,people.4.name,people.5.id,people.5.name,people.6.id,people.6.name,people.7.id,people.7.name,227
2,Registration,,Garfield B/C,2018-03-09,10:00,720,,,,,,,,,,,,,,,,,,,,,
1,Gaming (24/7),,Hayes & Pre-Fun,2018-03-09,10:00,840,,gaming,,,,,,,,,,,,,,,,,,,
3,Security & Ops (24/7),,Virgo,2018-03-09,10:00,840,,,,,,,,,,,,,,,,,,,,,
6,Open Gaming (all ages),,Grant B/C,2018-03-09,12:00,120,Come check out the Kid’s room and all the games available to play. (All Ages),kids,gaming,,,,,,,,,,,,,,,,,,
5,Exhibit Hall,,Hayes,2018-03-09,12:00,480,,vendors,,,,,,,,,,,,,,,,,,,
4,Deadlands: Night Train,,Hayes & Pre-Fun,2018-03-09,12:00,240,A Classic Deadlands: Weird West Adventure,gaming,,,8,B. Barrington,,,,,,,,,,,,,,,
7,PFS #9-10: Signs in Senghor (1-5),,Hayes & Pre-Fun,2018-03-09,12:00,240,"A Pathfinder Society Scenario designed for levels 1–5.
 In the port of Senghor, it is taboo to even speak of the accursed ruin of Boali that sits on the other side of the bay, let alone to set foot in its rubble-strewn streets. Yet rumors have reached the Pathfinder Society that the Aspis Consortium has sent agents to search through this forbidden city. Although few people willingly travel to its shires, Boali is far from quiet. It falls to a small group Pathfinder agents to get the bottom of the Aspis plot without falling prey to the ruin's dangers. Can the PCs bring the Consortiums' true motives to light?",gaming,Pathfinder,,29,G. Melone,,,,,,,,,,,,,,,
8,PFS #9-12: Shrine of the Sacred Tempest (1-5),,Hayes & Pre-Fun,2018-03-09,12:00,240,"A Pathfinder Society Scenario designed for levels 1–5.
 Outside of a remote village in the tengu nation of Kwanlai, a generations-old group of shrinekeepers has dutifully watched over a holy site that commemorates celestial forces that fell in battle against a qlippoth invasion in the distant past. By tradition, the guardians report to celestial forces every 10 years, but these guardians have fallen silent. A messenger from Heaven has called upon the Pathfinder Society to investigate the historic site and uncover the truth behind the shrinekeepers' fate.",gaming,Pathfinder,,29,G. Melone,,,,,,,,,,,,,,,
9,PFS #9–15: The Bloodcove Blockade (3-7),,Hayes & Pre-Fun,2018-03-09,12:00,240,"A Pathfinder Society Scenario designed for levels 3–7.
 The Aspis Consortium has poached relics from the Mwangi Expanse for decades, but the organization has recently identified a wealth of rare minerals deep in the Kaava Lands. The biggest catch is that the Society is familiar with this area, and a massive mining operation like the one the Consortium's planning wouldn't just disrupt local cultures; it risks unleashing a powerful fiend the Pathfinder Society narrowly kept sealed away.
 Such a large operation is beyond the capacity of a few agents to stop. Instead, the Exchange is armed and ready to strangle Bloodcove's imports to shut down the Consortium's plan before it can inflict too much damage. For this maneuver to work, though, the Exchange needs allies and intelligence within Bloodcove, made all the more essential now that the Society's sole agent in Bloodcove has disappeared.",gaming,Pathfinder,,29,G. Melone,,,,,,,,,,,,,,,
10,SFS #1-05: The First Mandate (1-4),,Hayes & Pre-Fun,2018-03-09,12:00,240,"A Starfinder Society Scenario designed for levels 1-4.
 With a new generation of Starfinders already accomplishing great deeds within the Pact Worlds and beyond, First Seeker Luwazi Elsebo is ready to announce the Starfinder Society's next initiative that will define her tenure. The PCs attend a gathering at the Lorespire Complex to socialize with several visiting dignitaries, each instrumental in the Society's survival following the Scoured Stars Incident. Nothing is as it seems, though, and when Radaszam, leader of the Acquisitives faction, uncovers a plot against the First Seeker, the PCs need to step in and ensure the Society's public event doesn't end in disaster!",gaming,Starfinder,,29,G. Melone,,,,,,,,,,,,,,,
11,The Lost Crypt of Andophine the Foul,,Hayes & Pre-Fun,2018-03-09,12:00,240,"Rumors, whispers, even dreams have drawn you to the site. You wait anxiously as the full moon rises over the clearing you and the other adventurers are standing in. As it clears the trees, the glyphs in front of you begin to glow with Arcane energy. You step forward and whisper the command word you've learned for this. You've only got 4 hours to get in, get the loot, and get out before you're trapped inside. The energy flares up around you and you disappear from the clearing...",gaming,,,64,P. Epps,,,,,,,,,,,,,,,
